unique_id,osmid,element_type,addr:district,addr:full,addr:postcode,addr:state,addr:subdistrict,amenity,contact:phone,description,name,source,geometry,healthcare,addr:city,addr:street,name:hi,contact:mobile,email,healthcare:speciality,operator:type,website,operator,emergency,nodes,building,addr:housenumber,phone,phone_1,name:en,,,,,,,
node/8411203150,8411203150,node,,,,,,hospital,,,AIIMS Patna OPD,,POINT (85.0420123 25.5627413),hospital,,AIIMS Patna Road,,,,general,gynaecology,ophthalmology,paediatrics,internal,orthopaedics,dentist,dermatology,psychiatry,otolaryngology,radiology,urology,surgery,cardiology,plastic_surgery,government,,AIIMS Patna
node/8411203151,8411203151,node,,,,,,hospital,,,"In patient Department, AIIMS Patna",,POINT (85.0410744 25.5623888),hospital,,,,,,covid19,,,,no,,,,,,,,,,,,,
node/8411203152,8411203152,node,,,,,,hospital,,,"Trauma and Emergency, AIIMS Patna",,POINT (85.04041650000001 25.5627178),hospital,,AIIMS Patna Road,,,,emergency,,,,yes,,,,,,,,,,,,,
way/292253359,292253359,way,,,801105,,,hospital,,,Rrailway hospital,,"POLYGON ((85.0392071 25.5836517, 85.0394441 25.5836763, 85.0394051 25.5839821, 85.0391681 25.5839576, 85.0392071 25.5836517))",hospital,patna,khagaul,,,,,,,,,"[2958069689, 2958069690, 2958069691, 2958069693, 2958069689]",hospital,,,,,,,,,,,
way/292256946,292256946,way,,,801105,,,hospital,,,DR Seema saroj,,"POLYGON ((85.03665599999999 25.5838, 85.0369457 25.5838339, 85.0369618 25.5835726, 85.0366721 25.5835435, 85.03665599999999 25.5838))",hospital,patna,,,,,,,,,,"[2958094237, 2958094238, 2958094239, 2958094240, 2958094237]",,neora colony,,,,,,,,,,
way/292273330,292273330,way,,,,,,hospital,,,railway mandal hospital,,"POLYGON ((85.0398161 25.584752, 85.03984029999999 25.5844036, 85.0404545 25.5845004, 85.0404035 25.5848318, 85.0398161 25.584752))",hospital,"khagaul,patna",medical colony,,,,,,,,,"[2958244995, 2958244996, 2958244997, 2958244998, 2958244995]",,,,,,,,,,,,
way/292626240,292626240,way,,,,,,hospital,,,"Railway hospital,indoor",,"POLYGON ((85.0397827 25.5843201, 85.04071879999999 25.5844411, 85.0409119 25.5834806, 85.0409897 25.5834492, 85.0410273 25.5832121, 85.0406813 25.5831202, 85.0400375 25.5830307, 85.0397827 25.5843201))",hospital,"khagaul,patna",officer colony,,,,,,,,,"[2961622605, 2961622606, 2961622607, 2961622608, 2961622609, 2961622610, 2961622611, 2961622605]",,,,,,,,,,,,
way/379746271,379746271,way,,,,,,hospital,,,Mahavir canser sansathan,,"POLYGON ((85.0806999 25.578553, 85.08148730000001 25.5784695, 85.08149450000001 25.5781842, 85.08070119999999 25.577521, 85.0804327 25.5776037, 85.08045730000001 25.5777167, 85.08036060000001 25.5777516, 85.08035289999999 25.5780756, 85.0804322 25.57812, 85.080349 25.578561, 85.0806999 25.578553))",hospital,,,,,,,,,Mahavir mandir trust,yes,"[3830758470, 3830758471, 3830758472, 3830758473, 6562981525, 6562981526, 6562981527, 6562981528, 6562981530, 6562981529, 3830758470]",,,,,,,,,,,,
way/688918175,688918175,way,,,801507,,,hospital,0612-2451070,,All India Institute of Medical Sciences,,"POLYGON ((85.0412051 25.5642179, 85.041713 25.5638873, 85.0453124 25.5595762, 85.0411447 25.5565826, 85.0393315 25.5589243, 85.041034 25.5602993, 85.0394982 25.5617652, 85.0400839 25.562325, 85.0394103 25.5631629, 85.0412051 25.5642179))",hospital,Patna,Phulwari Sarif,,,admin@aiimspatna.org,,,http://aiimspatna.org/,Public,yes,"[4963066502, 4963059827, 4963059826, 4963059824, 4963059832, 4963059831, 4963059830, 4963059829, 4963066500, 4963066502]",,,0612 2920182,0612- 2451923,,,,,,,,
way/688923492,688923492,way,Patna,"Bailey Road, Shiekhpura",800014,Bihar,,hospital,,,Indira Gandhi Institute of Medical Sciences,OpenGovernmentData,"POLYGON ((85.08851730000001 25.6085015, 85.09041449999999 25.6081008, 85.09093369999999 25.609573, 85.0911734 25.6104509, 85.09128819999999 25.6111983, 85.09128320000001 25.6112343, 85.0913281 25.6114189, 85.0913831 25.611779, 85.0916031 25.6126881, 85.0901877 25.612875, 85.0880801 25.6131533, 85.0864077 25.6133568, 85.0860794 25.6109959, 85.0860466 25.6103076, 85.08658010000001 25.6101744, 85.0874008 25.6102706, 85.0872777 25.609116, 85.0884267 25.608931, 85.0883365 25.6085387, 85.08851730000001 25.6085015))",hospital,Patna,"Bailey Road, Shiekhpura",,,,,government,http://www.igims.org/,Public,,"[6462073641, 6462073642, 6462073643, 6462073644, 6462073645, 6462073646, 6462073647, 6462073648, 6462073649, 6462073650, 6462073651, 6462073652, 6462073653, 6462073654, 6462073655, 6462073656, 6462073657, 6462073658, 6462073659, 6462073641]",,,0612 2297099,,,,,,,,,
node/2174767695,2174767695,node,Patna,P.O. Gulzarbagh,800007,Bihar,,hospital,,,Tripolia Social Service Hospital,OpenGovernmentData,POINT (85.1900358 25.6141766),hospital,,,,,,,,,,yes,,,,,,,,,,,,,
node/4574681592,4574681592,node,,,800006,,,hospital,,,Guru Govind Singh Hospital,,POINT (85.21424690000001 25.5996766),hospital,,Ashok Raj Path,,,,,,,,,,,,,,Guru Govind Singh Hospital,,,,,,,
node/6030969525,6030969525,node,Patna,"Khemani Chak More, Mahavir Nagar, Kankarbagh",800020,Bihar,,hospital,,,Metro Trauma Hospital,OpenGovernmentData,POINT (85.1614754 25.5850717),hospital,,,,,,,,,,,,,,,,,,,,,,,
node/6030988256,6030988256,node,,,,,,hospital,,,Isha health care,,POINT (85.1969136 25.604719),hospital,,,,,,,,,,,,,,,,,,,,,,,
node/6950315187,6950315187,node,Patna,"Near Chiraiyatand Over Bridge, Kankar Bagh",800020,Bihar,,hospital,,,Mahavir Arogya Sansthan,OpenGovernmentData,POINT (85.1434345 25.6023905),,,,,,,,,,,,,,,,,,,,,,,,
node/6950330098,6950330098,node,Patna,"Shyam Path,(Gali No:-10) Chandwari RoadKankarbagh",800020,Bihar,,hospital,,,Magalam Hospital,OpenGovernmentData,POINT (85.1457296 25.5970666),,,,,,,,,,,,,,,,,,,,,,,,
node/6950348703,6950348703,node,Patna,"Nagar Nausa Lothi, Makhania Kuan Road",800004,Bihar,,hospital,,,"Kumar Nursing Home, Patna",OpenGovernmentData,POINT (85.1611455 25.6175277),,,,,,,,,,,,,,,,,,,,,,,,
node/6950348717,6950348717,node,Patna,"U/479, Lohia Nagar, Kankarbagh , (100Yds East Of Kankarbagh, Tempo Stand)",800020,Bihar,,hospital,,,"Kiran Nursing Home, Patna",OpenGovernmentData,POINT (85.15173919999999 25.5935884),,,,,,,,,,,,,,,,,,,,,,,,
node/6950525576,6950525576,node,Patna,"202, M.I.G. (Nort To Malahi Pakari Chowk) Kankarbagh Colony",800020,Bihar,,hospital,,,Sri Jagannath Sewa Sadan,OpenGovernmentData,POINT (85.15651630000001 25.5952824),,,,,,,,,,,,,,,,,,,,,,,,
node/6950541875,6950541875,node,Patna,"B-144, P.C.Colony, NearLohiya Nagar Mount Carmel High School, Kankarbagh",800020,Bihar,,hospital,,,Sri Sai Lions Netralaya,OpenGovernmentData,POINT (85.1528567 25.5930731),,,,,,,,,,,,,,,,,,,,,,,,
node/6950566667,6950566667,node,Patna,"No. E-139, Doctor's Colony,Lohianagar,NearMalahi Pakri Chowk",800020,Bihar,,hospital,,,Sundari Devi Hospital,OpenGovernmentData,POINT (85.1567941 25.5925198),,,,,,,,,,,,,,,,,,,,,,,,
node/6952960342,6952960342,node,Patna,"NearBahadurpur Railway Crossing, Rajendra Nagar",800016,Bihar,,hospital,,,A.B. Eye Institute,OpenGovernmentData,POINT (85.166768 25.6038682),,,,,,,,,,,,,,,,,,,,,,,,
node/6953012407,6953012407,node,Patna,"Station Road , Phulwarisarif,Kumhrar Rd, Mahatma Gandhi Nagar, Chitragupta Nagar, Patna",801505,Bihar,,hospital,,,Sahaj Surgery,OpenGovernmentData,POINT (85.1647523 25.6018708),,,,,,,,,,,,,,,,,,,,,,,,
node/6953027542,6953027542,node,Patna,"Vidyapuri, Kankarbagh",800020,Bihar,,hospital,,,Srijan Centre For Assisted Human Reproduction,OpenGovernmentData,POINT (85.1613047 25.5950735),,,,,,,,,,,,,,,,,,,,,,,,
node/6953036640,6953036640,node,Patna,"H/3 Doctors Colony, East Of Rajendra Nagar Over Bridge, Kankarbagh",800020,Bihar,,hospital,6122361180,,Patna Bone And Spine Hospital Pvt Ltd,OpenGovernmentData,POINT (85.1588227 25.6020379),,,,,,,,,,,,,,,,,,,,,,,,
node/6953102552,6953102552,node,Patna,"Indian council of research, Department of health research, Agamkuan",800007,Bihar,,hospital,,,Rajendra Memorial Research Institute of Medical Sciences,OpenGovernmentData,POINT (85.1975182 25.5997495),,,,,,,,government,http://www.rmrims.org.in/,,,,,,,,,,,,,,,
node/6953102557,6953102557,node,Patna,"NearBahadurpur Petrol Pump, Old Bypass Road, Kankarbagh",800020,Bihar,,hospital,,,"Rajeshwar Hospital, Patna",OpenGovernmentData,POINT (85.1686026 25.6012746),,,,,,nfo@rajeshwarhospital.com,multi speciality,private,http://www.rajeshwarhospital.com,,,,,,,,,,,,,,,
node/6953134936,6953134936,node,Patna,"A-5,Patrakar Nagar, Near Back Gate Of Commerce College ,Kankarbagh",800004,Bihar,,hospital,,,E N T Hospital and Research Centre,OpenGovernmentData,POINT (85.1619651 25.6001753),hospital,,,,,,,,,,,,,,,,,,,,,,,
node/6953152754,6953152754,node,Patna,"N. R. Tower, Khemni Chowk, More Mahavir Colony, Hanuman Nagar",800020,Bihar,,hospital,,,Ishwar Dayal Memorial Hospital,OpenGovernmentData,POINT (85.1617214 25.5850694),,,,,,,,,,,,,,,,,,,,,,,,
node/6953153746,6953153746,node,Patna,"Eye Microsurgery & Retina Centre, G-9, People `S Co-Operative Colony, Kankarbagh",800020,Bihar,,hospital,,,Avadh Eye Hospital- Dr Arjun Kumar Singh,OpenGovernmentData,POINT (85.1500484 25.6022304),,,,,,,,,,,,,,,,,,,,,,,,
node/6953154985,6953154985,node,Patna,"Munna Chowk,Kankarbag",800020,Bihar,,hospital,,,Patliputra Divine Hospital Pvt Ltd,OpenGovernmentData,POINT (85.1638444 25.5990939),,,,,,,,,,,,,,,,,,,,,,,,
node/6953154996,6953154996,node,Patna,"43, Migh, Shalimar Sweets, Infront Of Bata Showroom, Kankar Bagh",800020,Bihar,,hospital,6122342922,,"Prakash Hospital, Patna",OpenGovernmentData,POINT (85.1470698 25.600428),,,,,,,,,,,,,,,,,,,,,,,,
node/6953157150,6953157150,node,Patna,"New Bypass (NH-30), Khemnichak, PO - New Jaganpura, PS - Ramkrishna Nagar",800027,Bihar,,hospital,,,Ford Hospital,OpenGovernmentData,POINT (85.16302159999999 25.5842409),,,,,,admin@fordhospital.org, info@fordhospital.org,multi speciality,private,https://fordhospital.org/,,,,,,,,,,,,,,
node/6953160027,6953160027,node,Patna,"B-24, Sachivalay Colony, Kankarbagh",800020,Bihar,,hospital,,,Hope Child Care and Research Centre,OpenGovernmentData,POINT (85.1597567 25.5971515),,,,,,,,,,,,,,,,,,,,,,,,
node/6953167218,6953167218,node,Patna,"Chandralaya, Kankarbagh Between Central School & Rajendra Nagar Bridge",800020,Bihar,,hospital,,,"Heart Hospital, Patna",OpenGovernmentData,POINT (85.15960200000001 25.5999994),,,,,,,,,,,,,,,,,,,,,,,,
node/6953173205,6953173205,node,Patna,"Bhagwat Nagar, Nayatola,Kumhrar,West Of Kumhrar Park",800026,Bihar,,hospital,,,I Care Eye Hospital and Research Centre,OpenGovernmentData,POINT (85.1798869 25.5982047),,,,,,,,,,,,,,,,,,,,,,,,
node/6953174729,6953174729,node,Patna,"DS - 2, Lohiya Nagar, Behind Geological Survey of India, Kankarbagh",800020,Bihar,,hospital,,,Jagdish Memorial Hospital,OpenGovernmentData,POINT (85.1572783 25.5989875),,,,,,info@jagdishhospital.com, dralok@jagdishhospital.com,multi speciality,private,http://www.jagdishhospital.com,,,,,,,,,,,,,,
node/6953226428,6953226428,node,Patna,"Arya Kumar , Rajendra Nagar Road",800016,Bihar,,hospital,,,New Born Care Centre (P) Ltd,OpenGovernmentData,POINT (85.15945189999999 25.6087892),,,,,,,,,,,,,,,,,,,,,,,,
node/6953239472,6953239472,node,Patna,"Indralok, Dharamshala Chowk",800008,Bihar,,hospital,9308129667,,Manokamna Health Care,OpenGovernmentData,POINT (85.2273509 25.5989339),,,,,,,,,,,,,,,,,,,,,,,,
node/6953260426,6953260426,node,Patna,"B-150, Housing Colony, Kankarbagh NearTempo Stand",800020,Bihar,,hospital,,,Om Eye Clinic and Phaco Centre - Patna,OpenGovernmentData,POINT (85.148206 25.5945748),,,,,,,,,,,,,,,,,,,,,,,,
node/6953374036,6953374036,node,Patna,"E-9, R.B.I Colony, Kankarbagh, NearPani Tanki",800020,Bihar,,hospital,,,Nav Sharda Aspatal Pvt Ltd,OpenGovernmentData,POINT (85.1562005 25.5933759),,,,,,,,,,,,,,,,,,,,,,,,
node/6953384941,6953384941,node,Patna,"K-208, P.C Colony ,Hanuman Nagar, Kankarbagh",800020,Bihar,,hospital,,,Shubham Maternity Centre,OpenGovernmentData,POINT (85.1595507 25.5906052),,,,,,,,,,,,,,,,,,,,,,,,
node/6956312377,6956312377,node,Patna,"N-7, Patrakar Nagar, Kankarbagh",800020,Bihar,,hospital,,,Chanakya Hospital,OpenGovernmentData,POINT (85.1599611 25.6000205),,,,,,,,,,,,,,,,,,,,,,,,
node/6956332161,6956332161,node,Patna,"40, Mig, Kankarbagh",800020,Bihar,,hospital,,,Adarsh Life Care Hospital Pvt. Ltd,OpenGovernmentData,POINT (85.1582921 25.5861879),,,,,,,,,,,,,,,,,,,,,,,,
node/6956367612,6956367612,node,Patna,Kankarbagh,800020,Bihar,,hospital,,,Swasti Womens Hospital And Research Centre,OpenGovernmentData,POINT (85.15938250000001 25.5942693),,,,,,,,,,,,,,,,,,,,,,,,
